primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
The Mummy,1932,73,"Fantasy,Horror",6.9,32825
Murders in the Rue Morgue,1932,61,"Crime,Horror,Mystery",6.3,5902
Night After Night,1932,73,"Comedy,Drama",6.7,1346
No Man of Her Own,1932,85,"Comedy,Drama,Romance",6.6,1796
Night at the Crossroads,1932,75,"Crime,Drama,Mystery",6.5,1043
Number 17,1932,66,"Crime,Mystery,Thriller",5.6,5916
The Old Dark House,1932,72,"Adventure,Comedy,Drama",7.0,14503
One Hour with You,1932,78,"Comedy,Musical,Romance",7.0,3153
One Way Passage,1932,67,"Comedy,Drama,Romance",7.5,4809
Pack Up Your Troubles,1932,68,"Comedy,War",7.2,2881
Penguin Pool Murder,1932,70,"Comedy,Drama,Mystery",6.9,1619
Polly of the Circus,1932,69,"Drama,Romance",6.1,1268
The Purchase Price,1932,68,"Comedy,Drama",6.4,2051
Rain,1932,94,Drama,6.9,3409
Rasputin and the Empress,1932,121,"Biography,Drama,History",6.5,1325
Red Dust,1932,83,"Comedy,Drama,Romance",7.2,5217
Red-Headed Woman,1932,79,"Comedy,Drama,Romance",7.0,3869
The Rich Are Always with Us,1932,71,"Comedy,Drama,Romance",6.2,1265
East of Shanghai,1931,83,"Comedy,Drama,Romance",5.7,5293
Scarface,1932,93,"Action,Crime,Drama",7.7,32752
Shanghai Express,1932,82,"Adventure,Drama,Film-Noir",7.3,11536
Shopworn,1932,72,"Drama,Romance",6.4,1150
The Sign of the Cross,1932,125,"Drama,History",6.8,2965
Skyscraper Souls,1932,99,"Drama,Romance",7.2,1067
Smilin' Through,1932,98,"Drama,Romance",6.9,1726
So Big!,1932,81,"Drama,Romance",6.8,1928
Speak Easily,1932,82,Comedy,5.8,1262
Tarzan the Ape Man,1932,100,"Action,Adventure,Romance",6.9,8801
Taxi,1931,69,"Crime,Drama,Romance",6.6,1747
The Testament of Dr. Mabuse,1933,122,"Crime,Mystery,Thriller",7.9,14374
Thirteen Women,1932,73,"Crime,Drama,Horror",6.3,2221
The Thirteenth Guest,1932,69,"Drama,Horror,Mystery",5.7,1045
This Is the Night,1932,80,Comedy,6.6,1116
Three on a Match,1932,63,"Crime,Drama,Romance",7.1,4770
Tiger Shark,1932,77,"Drama,Romance",6.4,1239
Trouble in Paradise,1932,83,"Comedy,Crime,Romance",7.9,17184
Two Seconds,1932,67,"Crime,Drama,Thriller",6.9,1378
"I Was Born, But...",1932,90,"Comedy,Drama",7.8,6645
Union Depot,1932,67,"Comedy,Drama,Romance",7.1,1274
Vampyr,1932,75,"Fantasy,Horror",7.4,22424
Virtue,1932,68,"Crime,Drama,Romance",6.9,1115
What Price Hollywood?,1932,88,"Drama,Romance",7.0,2882
White Zombie,1932,69,Horror,6.2,12535
"20,000 Years in Sing Sing",1932,78,"Crime,Drama,Film-Noir",6.8,3157
Alice in Wonderland,1933,76,"Adventure,Family,Fantasy",6.3,2922
Baby Face,1933,71,"Drama,Romance",7.5,8900
Bed of Roses,1933,67,"Comedy,Drama,Romance",6.4,1167
Berkeley Square,1933,88,"Fantasy,Romance",6.5,1058
The Bitter Tea of General Yen,1932,88,"Drama,Romance,War",6.9,4708
Bombshell,1933,96,"Comedy,Drama,Mystery",7.1,3371
Bureau of Missing Persons,1933,73,"Comedy,Crime,Drama",6.5,1446
A Song of Lisbon,1933,85,"Comedy,Musical",7.7,1609
Cavalcade,1933,112,"Drama,Romance,War",5.8,6504
Christopher Strong,1933,78,"Action,Adventure,Drama",6.3,1874
Counsellor at Law,1933,82,"Comedy,Drama",7.5,1637
Dancing Lady,1933,92,"Comedy,Musical,Romance",6.8,2843
The Death Kiss,1932,75,"Comedy,Crime,Drama",6.0,1656
Passing Fancy,1933,100,"Drama,Romance",7.2,1573
Design for Living,1933,91,"Comedy,Mystery,Romance",7.4,8427
The Devil's Brother,1933,90,"Comedy,Musical",7.1,2198
Dinner at Eight,1933,111,Drama,7.5,9643
Double Harness,1933,69,"Comedy,Drama",6.8,1397
Duck Soup,1933,69,"Comedy,Musical",7.7,64886
The Eagle and the Hawk,1933,73,"Action,Drama,War",7.0,1505
The Emperor Jones,1933,72,"Drama,Music",6.4,1391
Employees' Entrance,1933,75,"Drama,Romance",7.2,1822
Ex-Lady,1933,67,"Comedy,Drama",6.4,1798
Female,1933,60,"Comedy,Drama,Romance",6.7,2050
Flying Down to Rio,1933,89,"Comedy,Musical,Romance",6.6,4281
Footlight Parade,1933,104,"Comedy,Musical,Romance",7.5,6529
42nd Street,1933,89,"Comedy,Drama,Musical",7.3,13668
Gabriel Over the White House,1933,86,"Drama,Fantasy,Romance",6.4,1581
The Ghoul,1933,80,"Action,Drama,Horror",5.8,3671
Going Hollywood,1933,78,"Musical,Romance",6.1,2000
Gold Diggers of 1933,1933,97,"Comedy,Drama,Musical",7.7,9756
Hans Westmar,1933,95,Biography,5.8,1504
Heroes for Sale,1933,76,"Drama,Romance,War",7.4,2668
Dragnet Girl,1933,100,"Crime,Drama,Romance",6.9,1249
Our Flags Lead Us Forward,1933,87,Drama,5.5,1886
Hold Your Man,1933,87,"Crime,Drama,Romance",6.9,2016
I'm No Angel,1933,87,"Comedy,Music,Romance",6.9,4287
International House,1933,68,Comedy,6.9,1549
The Invisible Man,1933,71,"Horror,Sci-Fi",7.6,43445
Island of Lost Souls,1932,70,"Film-Noir,Horror,Sci-Fi",7.3,12067
The Kennel Murder Case,1933,73,"Crime,Drama,Mystery",6.8,4533
King Kong,1933,100,"Adventure,Horror",7.9,94940
Ladies They Talk About,1933,69,Drama,6.6,2149
Lady Killer,1933,76,"Comedy,Crime,Drama",7.0,2211
Lady for a Day,1933,96,"Comedy,Drama",7.4,5120
Playing at Love,1933,88,"Drama,Romance",7.5,1644
The Little Giant,1933,76,"Comedy,Crime,Romance",7.0,1514
Little Women,1933,115,"Drama,Family,Romance",7.2,8417
Man's Castle,1933,78,"Drama,Romance",7.1,2136
The Mayor of Hell,1933,90,"Crime,Drama,Romance",6.9,2078
Midnight Mary,1933,74,"Crime,Drama,Romance",7.0,1856
Morning Glory,1933,74,"Drama,Romance",6.4,3525
Murders in the Zoo,1933,62,"Crime,Horror",6.4,2021
Mystery of the Wax Museum,1933,77,"Horror,Mystery,Thriller",6.8,7511
Night Flight,1933,84,Drama,6.2,1049
Outskirts,1933,98,"Drama,War",7.1,1204
Parachute Jumper,1933,72,"Action,Crime,Drama",6.4,1391
Peg o' My Heart,1933,87,"Drama,Romance",6.5,1605
Penthouse,1933,90,"Crime,Drama,Mystery",6.8,1434
Picture Snatcher,1933,77,"Crime,Drama",7.0,1975
Private Detective 62,1933,66,"Crime,Drama",6.7,1226
The Private Life of Henry VIII,1933,97,"Biography,Drama,History",7.0,5287
The Prizefighter and the Lady,1933,102,"Comedy,Crime,Music",6.3,1143
Queen Christina,1933,99,"Biography,Drama,History",7.5,9198
Riders of Destiny,1933,53,"Music,Romance,Western",5.4,1316
Sagebrush Trail,1933,54,"Drama,Western",5.4,1517
Secret of the Blue Room,1933,66,"Crime,Drama,Horror",6.4,1332
She Done Him Wrong,1933,66,"Comedy,Drama,History",6.3,7523
A Shriek in the Night,1933,66,"Crime,Mystery,Romance",5.3,1182
Son of Kong,1933,70,"Adventure,Family,Sci-Fi",5.6,5708
The Song of Songs,1933,90,"Drama,Romance",6.8,1086
Sons of the Desert,1933,68,"Comedy,Family",7.5,10209
State Fair,1933,99,"Comedy,Drama,Romance",6.7,1281
The Story of Temple Drake,1933,70,"Crime,Drama",7.1,2111
A Study in Scarlet,1933,72,"Drama,Horror,Mystery",5.6,1337
Supernatural,1933,65,"Drama,Horror,Mystery",6.2,1118
Today We Live,1933,113,"Drama,Romance,War",5.9,1524
Woman of Tokyo,1933,47,Drama,7.0,1133
Topaze,1933,78,"Comedy,Drama",6.7,1120
The Vampire Bat,1933,65,"Drama,Horror,Mystery",5.8,3337
Strauss' Great Waltz,1934,80,"Biography,Music,Romance",5.7,1893
When Ladies Meet,1933,85,"Comedy,Romance",6.8,1250
Wild Boys of the Road,1933,68,"Adventure,Drama",7.5,2570
The Working Man,1933,78,"Comedy,Drama,Romance",7.2,1365
Zero for Conduct,1933,47,Drama,7.2,9889
'Neath the Arizona Skies,1934,52,"Drama,Western",5.1,1240
Anne of Green Gables,1934,78,"Comedy,Drama,Family",7.0,1555
L'Atalante,1934,89,"Adventure,Drama,Romance",7.7,18421
March of the Wooden Soldiers,1934,77,"Comedy,Family,Fantasy",7.1,8060
"Baby, Take a Bow",1934,76,"Comedy,Drama,Music",6.4,1128
The Barretts of Wimpole Street,1934,109,"Biography,Drama,Romance",6.9,2342
Belle of the Nineties,1934,73,"Comedy,Drama,Musical",6.3,1073
The Big Shakedown,1934,64,"Crime,Drama",6.2,1181
The Black Cat,1934,65,"Crime,Horror,Romance",6.9,14257
Blue Steel,1934,52,"Drama,Western",5.3,1881
Born to Be Bad,1934,62,"Drama,Romance",6.1,1350
Bright Eyes,1934,85,"Comedy,Drama,Family",7.2,2678
Broadway Bill,1934,104,"Comedy,Drama",6.6,1241
The Case of the Howling Dog,1934,74,"Adventure,Comedy,Crime",6.9,1176
The Cat's-Paw,1934,102,Comedy,6.7,1455
Chained,1934,76,"Drama,Romance",6.4,1217
Chapayev,1934,93,"Biography,Drama,History",7.0,1570
Charlie Chan in London,1934,79,"Crime,Drama,Mystery",6.9,2293
The Clairvoyant,1935,81,"Drama,Mystery,Romance",6.6,1286
Cleopatra,1934,100,"Biography,Drama,History",6.8,5082
The Count of Monte Cristo,1934,113,"Action,Adventure,Crime",7.4,3684
Dames,1934,91,"Comedy,Music,Musical",7.0,2611
Death Takes a Holiday,1934,79,"Drama,Fantasy,Romance",6.9,2602
Evelyn Prentice,1934,79,"Drama,Mystery,Romance",6.9,1950
Fashions of 1934,1934,78,"Comedy,Drama,Musical",6.6,2137
Fog Over Frisco,1934,68,"Crime,Mystery,Romance",6.5,1983
Forsaking All Others,1934,83,"Comedy,Drama,Romance",6.4,1706
Gambling Lady,1934,66,"Drama,Mystery",6.5,1270
The Gay Divorcee,1934,107,"Comedy,Musical,Romance",7.3,9220
The Girl from Missouri,1934,75,"Comedy,Drama,Romance",6.6,1551
Heat Lightning,1934,63,"Crime,Drama",7.1,1183
Here Comes the Navy,1934,87,"Comedy,Drama,Romance",6.2,1310
Hide-Out,1934,81,"Comedy,Crime,Drama",6.9,1027
Hollywood Party,1934,68,"Comedy,Musical",5.9,1191
The House of Rothschild,1934,88,"Biography,Drama,History",6.5,1508
Housewife,1934,69,"Drama,Romance",6.1,1175
Imitation of Life,1934,111,"Comedy,Drama,Romance",7.5,6108
It Happened One Night,1934,105,"Comedy,Romance",8.1,118432
It's a Gift,1934,68,Comedy,7.1,6020
Jimmy the Gent,1934,67,"Comedy,Crime,Drama",6.6,2165
Judge Priest,1934,80,"Comedy,Drama,Romance",6.2,2734
The Lawless Frontier,1934,59,"Drama,Western",5.1,1226
Liliom,1934,118,"Drama,Fantasy",6.8,1323
Little Miss Marker,1934,80,"Adventure,Comedy,Drama",6.9,1528
The Lost Patrol,1934,73,"Action,Adventure,Drama",6.8,3902
The Lucky Texan,1934,54,"Action,Adventure,Drama",5.6,1487
The Man Who Knew Too Much,1934,75,"Crime,Drama,Mystery",6.7,23057
The Man from Utah,1934,51,"Drama,Western",5.1,1361
Man of Aran,1934,76,Drama,7.1,2452
Mandalay,1934,65,Drama,6.6,1238
Manhattan Melodrama,1934,93,"Crime,Drama,Romance",7.2,5173
Maniac,1934,51,"Horror,Sci-Fi",3.7,2869
Bad Seed,1934,77,"Comedy,Drama,Romance",6.1,1187
The Merry Widow,1934,99,"Comedy,Musical,Romance",7.1,3511
Midnight,1934,76,"Crime,Drama,Film-Noir",5.5,1395
Les Misérables,1934,281,Drama,8.3,2171
Murder at the Vanities,1934,89,"Crime,Music,Musical",6.5,1063
Music in the Air,1934,85,"Comedy,Musical,Romance",6.0,1050
Now and Forever,1934,81,"Crime,Drama,Romance",6.5,1291
Of Human Bondage,1934,83,"Drama,Film-Noir,Romance",7.0,8983
The Old Fashioned Way,1934,71,Comedy,7.3,1217
Operator 13,1934,85,"Drama,History,Musical",5.9,1557
Our Daily Bread,1934,80,"Drama,Romance",7.0,2329
The Painted Veil,1934,85,"Drama,Romance",6.5,1848
Randy Rides Alone,1934,52,"Action,Drama,Mystery",5.3,1301
The Richest Girl in the World,1934,76,"Comedy,Romance",6.3,1066
Sadie McKee,1934,93,"Drama,Romance",6.8,1859
The Scarlet Empress,1934,104,"Drama,History,Romance",7.5,7782
The Scarlet Pimpernel,1934,97,"Adventure,Drama",7.3,5118
Everybody's Woman,1934,89,Drama,7.3,1092
The Star Packer,1934,53,"Action,Drama,Mystery",5.1,1389
Tarzan and His Mate,1934,104,"Action,Adventure,Romance",7.2,5950
The Thin Man,1934,91,"Comedy,Crime,Mystery",7.9,34497
Thirty Day Princess,1934,74,"Comedy,Romance",6.7,1329
Toni,1935,84,"Crime,Drama,Romance",7.2,2255
The Trail Beyond,1934,54,"Drama,Western",5.3,1097
Treasure Island,1934,110,"Adventure,Drama,Family",7.1,3484
Triumph of the Will,1935,110,"Documentary,History",7.1,19466
Twentieth Century,1934,91,"Comedy,Romance",7.2,7692
A Story of Floating Weeds,1934,86,Drama,7.6,3742
Moscow Laughs,1934,96,"Comedy,Musical",6.9,1168
Viva Villa!,1934,115,"Biography,Drama,Western",6.3,1702
West of the Divide,1934,54,"Action,Adventure,Drama",5.3,1165
You're Telling Me!,1934,66,Comedy,7.4,1269
The 39 Steps,1935,86,"Crime,Mystery,Thriller",7.6,65223
After Office Hours,1935,72,"Comedy,Crime,Drama",6.4,1114
Alice Adams,1935,99,"Comedy,Drama,Romance",6.9,4838
Anna Karenina,1935,95,"Drama,Romance",7.0,6147
Annie Oakley,1935,90,"Biography,Drama,Western",6.6,2063
Barbary Coast,1935,91,"Adventure,Drama,Romance",6.7,2257
Becky Sharp,1935,84,"Drama,Romance,War",5.8,1436
Black Fury,1935,94,"Crime,Drama,Romance",6.5,1147
The Black Room,1935,68,Horror,6.9,2690
Bonnie Scotland,1935,80,Comedy,6.7,2220
Bordertown,1935,90,"Crime,Drama,Film-Noir",6.6,2091
Bride of Frankenstein,1935,75,"Drama,Horror,Sci-Fi",7.8,57904
Broadway Melody of 1936,1935,101,"Comedy,Musical,Romance",6.8,2218
Call of the Wild,1935,95,"Adventure,Drama,Family",6.8,2812
Captain Blood,1935,119,"Action,Adventure,History",7.7,17026
The Case of the Curious Bride,1935,80,"Comedy,Crime,Drama",6.6,1333
Charlie Chan in Egypt,1935,73,"Crime,Drama,Mystery",6.6,2281
Charlie Chan in Paris,1935,72,Mystery,7.1,1867
Charlie Chan in Shanghai,1935,71,"Crime,Drama,Mystery",6.9,1709
China Seas,1935,87,"Action,Adventure,Drama",6.9,3219
Crime and Punishment,1935,88,"Crime,Drama",6.9,2441
The Crusades,1935,125,"Adventure,Drama,History",6.5,1412
Curly Top,1935,75,"Family,Musical,Romance",6.8,2230
Dangerous,1935,79,"Drama,Romance",6.8,3972
The Dark Angel,1935,106,"Drama,Romance",6.6,1058
David Copperfield,1935,130,"Adventure,Drama,Family",7.3,5026
The Dawn Rider,1935,53,"Drama,Western",5.1,1425
The Desert Trail,1935,54,Western,5.2,1114
The Devil Is a Woman,1935,79,"Comedy,Drama,Romance",6.9,4217
Front Page Woman,1935,82,"Comedy,Romance",6.5,1835
'G' Men,1935,85,"Crime,Drama,Film-Noir",7.1,4635
The Ghost Goes West,1935,95,"Comedy,Fantasy,Horror",6.7,2339
The Girl from 10th Avenue,1935,69,Drama,6.7,1466
Gold Diggers of 1935,1935,95,"Comedy,Musical,Romance",6.8,3106
The Good Fairy,1935,98,"Comedy,Romance",7.5,1766
Hands Across the Table,1935,80,"Comedy,Romance",6.9,2267
If You Could Only Cook,1935,72,"Comedy,Romance",7.0,1551
The Informer,1935,91,"Crime,Drama",7.3,7721
Carnival in Flanders,1935,95,"Comedy,History,Romance",7.4,1524
The Last Days of Pompeii,1935,96,"Adventure,Drama",6.4,1339
The Littlest Rebel,1935,73,"Comedy,Drama,Family",6.7,1790
The Lives of a Bengal Lancer,1935,109,"Adventure,Drama,War",7.0,3497
Mad Love,1935,68,"Horror,Romance,Sci-Fi",7.2,6367
Magnificent Obsession,1935,112,"Drama,Romance",6.8,1301
Man on the Flying Trapeze,1935,66,"Comedy,Crime,Mystery",7.5,1435
Marihuana,1936,57,"Crime,Drama",4.1,1044
Mark of the Vampire,1935,60,"Horror,Mystery",6.3,6036
A Midsummer Night's Dream,1935,133,"Comedy,Fantasy,Romance",6.8,4135
Les Misérables,1935,108,"Drama,History,Romance",7.6,4162
The Murder Man,1935,69,"Crime,Drama,Mystery",6.8,1361
Murder on a Honeymoon,1935,74,"Comedy,Drama,Mystery",6.8,1074
Mutiny on the Bounty,1935,132,"Adventure,Biography,Drama",7.6,26292
Phantom Ship,1935,62,"Drama,Horror,Mystery",5.4,1229
Naughty Marietta,1935,105,"Drama,Musical,Romance",6.5,1673
A Night at the Opera,1935,96,"Comedy,Music,Musical",7.8,36123
Page Miss Glory,1935,93,"Comedy,Romance",6.7,1450
Paradise Canyon,1935,54,"Action,Drama,Western",5.1,1117
Peter Ibbetson,1935,85,"Drama,Fantasy,Romance",6.9,2853
The Raven,1935,61,"Crime,Horror",6.8,7181
Reckless,1935,97,"Comedy,Drama,Musical",6.4,1640
Rendezvous,1935,94,"Comedy,Drama,War",6.6,1126
Riffraff,1935,94,"Crime,Drama,Romance",6.2,1230
Roberta,1935,106,"Comedy,Musical,Romance",7.0,3884
Ruggles of Red Gap,1935,90,"Comedy,Mystery,Romance",7.6,4810
Scrooge,1935,78,"Drama,Family,Fantasy",6.5,2888
She,1935,101,"Adventure,Fantasy,Romance",6.4,2149
Special Agent,1935,76,"Drama,Mystery,Romance",6.4,1336
Star of Midnight,1935,90,"Comedy,Mystery,Romance",6.7,1890
Steamboat Round the Bend,1935,82,"Comedy,Drama,Romance",6.9,1446
Sylvia Scarlett,1935,95,"Comedy,Drama,Romance",6.2,4857
A Tale of Two Cities,1935,128,"Drama,History,Romance",7.8,6786
Sazen Tange and the Pot Worth a Million Ryo,1935,92,"Comedy,Drama",7.7,1319
Texas Terror,1935,51,"Drama,Western",5.1,1142
An Inn in Tokyo,1935,79,Drama,7.4,1798
Top Hat,1935,101,"Comedy,Musical,Romance",7.7,21837
Transatlantic Tunnel,1935,94,"Drama,Sci-Fi",6.0,1096
The Wedding Night,1935,83,"Drama,Romance",6.6,1172
Werewolf of London,1935,75,"Drama,Fantasy,Horror",6.3,7256
The Whole Town's Talking,1935,93,"Comedy,Crime,Drama",7.3,3685
After the Thin Man,1936,112,"Comedy,Crime,Mystery",7.6,12886
The Amazing Adventure,1936,61,"Comedy,Drama,Romance",6.3,2320
Anthony Adverse,1936,141,"Adventure,Drama,Romance",6.3,2156
Mr. Thank You,1936,76,"Comedy,Drama",7.3,1407
The Lower Depths,1936,90,"Crime,Drama,Romance",7.5,3882
They Were Five,1936,100,Drama,7.5,1573
Big Brown Eyes,1936,77,"Comedy,Crime,Mystery",6.5,1267
Black Legion,1937,83,"Crime,Drama,Film-Noir",7.0,4173
The Bohemian Girl,1936,71,"Comedy,Musical",6.6,2398
Born to Dance,1936,106,"Comedy,Musical,Romance",6.7,2103
Bullets or Ballots,1936,82,"Crime,Drama,Film-Noir",7.0,3712
Cain and Mabel,1936,90,"Comedy,Musical,Mystery",6.4,2184
Captain January,1936,77,"Comedy,Family,Musical",7.0,1602
The Charge of the Light Brigade,1936,115,"Action,Adventure,Romance",7.0,5756
Charlie Chan at the Circus,1936,72,Mystery,6.8,1908
Charlie Chan at the Opera,1936,68,Mystery,7.1,2410
Charlie Chan at the Race Track,1936,70,Mystery,7.1,1698
Charlie Chan's Secret,1935,72,Mystery,6.9,1900
Come and Get It,1936,99,"Drama,Romance",6.9,2589
Craig's Wife,1936,73,Drama,7.2,1186
The Crime of Monsieur Lange,1936,77,"Comedy,Crime,Drama",7.3,3989
César,1936,168,Drama,7.6,1795
Desire,1936,95,"Comedy,Crime,Romance",7.1,3301
The Devil-Doll,1936,78,"Drama,Horror,Sci-Fi",7.0,5409
Dimples,1936,79,"Family,Musical",6.5,1020
Dodsworth,1936,101,"Drama,Romance",7.7,10913
Dracula's Daughter,1936,71,"Drama,Fantasy,Horror",6.3,8979
"Bizarre, Bizarre",1937,84,Comedy,7.4,2094
The Ex-Mrs. Bradford,1936,82,"Comedy,Mystery",6.9,2430
Flash Gordon,1936,245,"Action,Adventure,Family",6.9,2865
Follow the Fleet,1936,110,"Comedy,Musical,Romance",7.1,4974
Fury,1936,92,"Crime,Drama,Film-Noir",7.8,14578
The Garden of Allah,1936,79,"Adventure,Drama,Mystery",5.8,1833
The General Died at Dawn,1936,98,"Action,Drama,War",6.5,1436
Sisters of the Gion,1936,95,Drama,7.4,3214
Gold Diggers of 1937,1936,101,"Comedy,Musical,Romance",6.4,1332
The Golden Arrow,1936,68,"Comedy,Family,Romance",6.2,1194
The Gorgeous Hussy,1936,103,"Drama,History",5.6,1464
Great Guy,1936,66,"Crime,Drama,Film-Noir",6.3,1216
The Great Ziegfeld,1936,176,"Drama,Musical",6.6,9590
The Only Son,1936,82,Drama,7.7,4405
Intermezzo,1936,86,"Drama,Music,Romance",6.5,1488
The Invisible Ray,1936,80,"Horror,Sci-Fi,Thriller",6.5,3406
The Last of the Mohicans,1936,91,"Adventure,Drama,Western",6.6,1862
Libeled Lady,1936,98,"Comedy,Romance",7.8,9510
Little Lord Fauntleroy,1936,102,"Drama,Family",7.3,2782
Lloyd's of London,1936,118,"Drama,History,Romance",6.9,1281
Love on the Run,1936,80,"Comedy,Fantasy,Romance",6.0,1446
The Man Who Lived Again,1936,66,"Horror,Sci-Fi",6.6,1347
Mary of Scotland,1936,123,"Biography,Drama,History",6.3,2963
Mayerling,1936,96,"Drama,Romance",7.0,1027
The Milky Way,1936,89,"Comedy,Family,Sport",6.5,1943
Modern Times,1936,87,"Comedy,Drama,Romance",8.5,282032
Mr. Deeds Goes to Town,1936,115,"Comedy,Drama,Romance",7.8,24629
My Man Godfrey,1936,94,"Comedy,Drama,Romance",7.9,28123
Osaka Elegy,1936,90,"Comedy,Drama",7.2,2772
Our Relations,1936,71,"Comedy,Family",7.3,3712
The Petrified Forest,1936,82,"Drama,Thriller",7.5,15781
The Plainsman,1936,113,"Drama,Western",6.8,2595
Poor Little Rich Girl,1936,79,"Adventure,Comedy,Family",7.0,1679
The Princess Comes Across,1936,76,"Comedy,Crime,Mystery",6.7,1391
The Prisoner of Shark Island,1936,96,"Biography,Drama,History",7.2,2793
Rembrandt,1936,85,"Biography,Drama",7.0,2178
Revolt of the Zombies,1936,65,"Adventure,Horror",3.4,2005
The Story of a Cheat,1936,81,Comedy,7.5,2726
Romeo and Juliet,1936,125,"Drama,Romance",6.5,2386
Rose-Marie,1936,113,"Adventure,Drama,Musical",6.7,1472
Sabotage,1936,76,"Crime,Thriller",7.0,20271
San Francisco,1936,115,"Drama,Music,Romance",7.1,6497
Satan Met a Lady,1936,74,"Comedy,Crime,Film-Noir",5.8,2602
Secret Agent,1936,86,"Crime,Drama,Mystery",6.4,9560
Show Boat,1936,113,"Comedy,Drama,Musical",7.4,4015
Small Town Girl,1936,106,"Comedy,Romance",6.5,1007
The Story of Louis Pasteur,1936,86,"Biography,Drama,History",7.3,3456
Stowaway,1936,87,"Adventure,Family,Musical",7.1,1573
Suzy,1936,93,"Drama,Romance,War",6.4,1817
The Demon Barber of Fleet Street,1936,76,"Crime,Drama",5.8,1679
Swing Time,1936,103,"Comedy,Musical,Romance",7.4,15386
Tarzan Escapes,1936,89,"Action,Adventure,Family",6.5,3791
Reefer Madness,1938,66,"Crime,Drama",3.8,9786
Theodora Goes Wild,1936,94,"Comedy,Mystery,Romance",7.1,3203
These Three,1936,93,"Drama,Romance",7.4,3352
Things to Come,1936,100,"Drama,Sci-Fi,War",6.6,9927
Three Godfathers,1936,81,"Drama,Western",7.3,1120
Three Smart Girls,1936,84,"Comedy,Musical,Romance",6.6,1668
The Trail of the Lonesome Pine,1936,102,"Adventure,Drama,Romance",6.8,1505
By the Bluest of Seas,1936,71,"Drama,Musical,Romance",6.9,1303
The Walking Dead,1936,66,"Crime,Drama,Horror",6.6,3537
Wife vs. Secretary,1936,88,"Comedy,Drama,Romance",7.0,4181
Winds of the Wasteland,1936,55,"Drama,Western",6.0,1273
Angel,1937,91,"Comedy,Drama,Romance",7.2,3640
The Awful Truth,1937,90,"Comedy,Romance",7.6,22958
Born to the West,1937,49,"Drama,Western",5.6,1118
Breakfast for Two,1937,67,"Comedy,Romance",6.4,1298
The Bride Wore Red,1937,103,"Comedy,Drama,Romance",6.3,1340
Broadway Melody of 1938,1937,110,"Musical,Romance",6.7,1491
Bulldog Drummond Escapes,1937,67,"Adventure,Mystery,Romance",6.0,1158
Camille,1936,109,"Drama,Romance",7.3,9364
Captains Courageous,1937,117,"Adventure,Drama,Family",7.9,11670
Charlie Chan at Monte Carlo,1937,72,"Crime,Mystery,Thriller",6.7,1769
Charlie Chan at the Olympics,1937,71,Mystery,7.0,1945
Charlie Chan on Broadway,1937,68,"Crime,Mystery",7.1,1720
Confession,1937,87,"Crime,Drama,Romance",7.3,1368
Conquest,1937,113,"Drama,History,Mystery",6.5,1840
A Damsel in Distress,1937,101,"Comedy,Musical,Romance",6.8,2563
Dark Journey,1937,77,"Adventure,Crime,Romance",6.2,1600
A Day at the Races,1937,111,"Comedy,Family,Musical",7.5,15194
Dead End,1937,93,"Crime,Drama,Film-Noir",7.2,9425
Double Wedding,1937,87,"Comedy,Romance",6.9,2704
Easy Living,1937,88,"Comedy,Romance",7.5,4570
The Edge of the World,1937,74,"Drama,History,Romance",7.3,2331
Ever Since Eve,1937,80,"Comedy,Romance",6.6,1658
Fire Over England,1937,92,"Adventure,History,Romance",6.5,2118
The Good Earth,1937,138,"Drama,Romance",7.5,5692
The Grand Illusion,1937,113,"Drama,War",8.1,40664
Heidi,1937,88,"Drama,Family,Musical",7.2,5292
History Is Made at Night,1937,97,"Comedy,Drama,Romance",7.4,2830
The Hurricane,1937,104,"Action,Adventure,Drama",7.1,3313
In Old Chicago,1938,95,"Action,Drama,Musical",6.7,2807
It's Love I'm After,1937,90,"Comedy,Romance",7.3,2872
Kid Galahad,1937,102,"Crime,Drama,Film-Noir",7.2,4216
King Solomon's Mines,1937,77,"Action,Adventure,Family",6.3,1605
Knight Without Armor,1937,107,"Adventure,Drama,History",6.8,1578
The Last Gangster,1937,81,"Crime,Drama,Thriller",6.7,1919
The Last of Mrs. Cheyney,1937,98,"Comedy,Drama,Romance",6.4,1791
The Life of Emile Zola,1937,116,"Biography,Drama",7.1,9796
Lost Horizon,1937,132,"Adventure,Drama,Fantasy",7.6,15468
Love Is News,1937,77,"Comedy,Romance",6.9,1033
Make Way for Tomorrow,1937,91,"Drama,Romance",8.1,10433
The Man Who Could Work Miracles,1936,82,"Comedy,Family,Fantasy",6.9,1733
Two Merry Adventurers,1937,116,"Comedy,Crime,Romance",7.0,1054
Marked Woman,1937,96,"Crime,Drama,Film-Noir",7.1,5414
Maytime,1937,132,"Drama,Musical,Mystery",7.2,1263
My Favorite Wife,1940,88,"Comedy,Romance",7.2,12408
Night Key,1937,68,"Crime,Thriller",6.3,1214
Night Must Fall,1937,116,"Drama,Mystery,Thriller",7.2,3288
Humanity and Paper Balloons,1937,86,Drama,7.6,2432
Nothing Sacred,1937,77,"Comedy,Drama,Fantasy",6.8,7631
"Oh, Mr. Porter!",1937,85,"Adventure,Comedy,Crime",7.4,1951
One Hundred Men and a Girl,1937,84,"Comedy,Drama,Music",6.7,1358
Personal Property,1937,84,"Comedy,Romance",6.5,1172
